epoch,accuracy,learning_rate,loss,val_accuracy,val_learning_rate,val_loss
0,0.9835374355316162,0.0003000000142492354,1.014072060585022,NA,NA,NA
1,0.9963416457176208,0.0003000000142492354,0.5960968732833862,NA,NA,NA
2,0.9975345730781555,0.0003000000142492354,0.4157813787460327,NA,NA,NA
3,0.9972164630889893,0.0003000000142492354,0.3072827160358429,NA,NA,NA
4,0.9981708526611328,0.0003000000142492354,0.23271594941616058,NA,NA,NA
5,0.9979322552680969,0.0003000000142492354,0.18007878959178925,NA,NA,NA
6,0.997693657875061,0.0003000000142492354,0.14275848865509033,NA,NA,NA
7,0.9981708526611328,0.0003000000142492354,0.11296124756336212,NA,NA,NA
8,0.9984093904495239,0.0003000000142492354,0.08994559943675995,NA,NA,NA
9,0.998727560043335,0.0003000000142492354,0.07424196600914001,NA,NA,NA
10,0.9985684752464294,0.0003000000142492354,0.06092269718647003,NA,NA,NA
11,0.9982503652572632,0.0003000000142492354,0.0544830858707428,NA,NA,NA
12,0.9990456700325012,0.0003000000142492354,0.04462258890271187,NA,NA,NA
13,0.9989660978317261,0.0003000000142492354,0.03706786409020424,NA,NA,NA
14,0.9981708526611328,0.0003000000142492354,0.037193238735198975,NA,NA,NA
15,0.9980912804603577,0.0003000000142492354,0.03323160484433174,NA,NA,NA
16,0.9990456700325012,0.0003000000142492354,0.027112267911434174,NA,NA,NA
17,0.9991251826286316,0.0003000000142492354,0.023351512849330902,NA,NA,NA
18,0.9990456700325012,0.0003000000142492354,0.02162342332303524,NA,NA,NA
19,0.9988865852355957,0.0003000000142492354,0.021344216540455818,NA,NA,NA
20,0.9979322552680969,0.0003000000142492354,0.024445824325084686,NA,NA,NA
21,0.9992842078208923,0.0003000000142492354,0.01965184323489666,NA,NA,NA
22,0.9995228052139282,0.0003000000142492354,0.014944970607757568,NA,NA,NA
23,0.9988865852355957,0.0003000000142492354,0.014891910366714,NA,NA,NA
24,0.9980912804603577,0.0003000000142492354,0.018401123583316803,NA,NA,NA
25,0.9984093904495239,0.0003000000142492354,0.021062953397631645,NA,NA,NA
26,0.999204695224762,0.0003000000142492354,0.015925612300634384,NA,NA,NA
27,0.9995228052139282,0.0003000000142492354,0.012684815563261509,NA,NA,NA
28,0.9997614026069641,0.0003000000142492354,0.010084414854645729,NA,NA,NA
29,0.9974550604820251,0.0003000000142492354,0.021039584651589394,NA,NA,NA
30,0.9995228052139282,0.0003000000142492354,0.01590881124138832,NA,NA,NA
31,0.9999204874038696,0.0003000000142492354,0.009943603537976742,NA,NA,NA
32,0.9992842078208923,0.0003000000142492354,0.009555770084261894,NA,NA,NA
33,0.997693657875061,0.0003000000142492354,0.019141925498843193,NA,NA,NA
34,0.9989660978317261,0.0003000000142492354,0.022616470232605934,NA,NA,NA
35,0.9989660978317261,0.0003000000142492354,0.015804104506969452,NA,NA,NA
36,0.9994432926177979,0.0003000000142492354,0.012698096223175526,NA,NA,NA
37,0.9994432926177979,0.0003000000142492354,0.011557362973690033,NA,NA,NA
38,0.9996023774147034,0.0001500000071246177,0.010333887301385403,NA,NA,NA
39,0.9999204874038696,0.0001500000071246177,0.008178899995982647,NA,NA,NA
40,0.9998409152030945,0.0001500000071246177,0.0073698232881724834,NA,NA,NA
41,1.0,0.0001500000071246177,0.006290283519774675,NA,NA,NA
42,0.9998409152030945,0.0001500000071246177,0.005927428603172302,NA,NA,NA
43,0.9996818900108337,0.0001500000071246177,0.006248884834349155,NA,NA,NA
44,1.0,0.0001500000071246177,0.005221257451921701,NA,NA,NA
45,0.9996023774147034,0.0001500000071246177,0.006422438658773899,NA,NA,NA
46,0.9989660978317261,0.0001500000071246177,0.010252916254103184,NA,NA,NA
47,0.9999204874038696,0.0001500000071246177,0.007048186380416155,NA,NA,NA
48,1.0,0.0001500000071246177,0.005605025682598352,NA,NA,NA
49,1.0,0.0001500000071246177,0.004887756891548634,NA,NA,NA
50,1.0,0.0001500000071246177,0.004447321407496929,NA,NA,NA
51,0.9979322552680969,0.0001500000071246177,0.013530177064239979,NA,NA,NA
52,0.9999204874038696,0.0001500000071246177,0.011193671263754368,NA,NA,NA
53,1.0,0.0001500000071246177,0.008228451013565063,NA,NA,NA
54,1.0,0.0001500000071246177,0.006880247965455055,NA,NA,NA
55,0.9994432926177979,0.0001500000071246177,0.0079162223264575,NA,NA,NA
56,1.0,7.500000356230885e-05,0.006229611579328775,NA,NA,NA
57,0.9999204874038696,7.500000356230885e-05,0.0058530825190246105,NA,NA,NA
58,0.9998409152030945,7.500000356230885e-05,0.005789764691144228,NA,NA,NA
