accuracy,loss,learning_rate
0.9835374355316162,1.014072060585022,0.0003000000142492354
0.9963416457176208,0.5960968732833862,0.0003000000142492354
0.9975345730781555,0.4157813787460327,0.0003000000142492354
0.9972164630889893,0.3072827160358429,0.0003000000142492354
0.9981708526611328,0.23271594941616058,0.0003000000142492354
0.9979322552680969,0.18007878959178925,0.0003000000142492354
0.997693657875061,0.14275848865509033,0.0003000000142492354
0.9981708526611328,0.11296124756336212,0.0003000000142492354
0.9984093904495239,0.08994559943675995,0.0003000000142492354
0.998727560043335,0.07424196600914001,0.0003000000142492354
0.9985684752464294,0.06092269718647003,0.0003000000142492354
0.9982503652572632,0.0544830858707428,0.0003000000142492354
0.9990456700325012,0.04462258890271187,0.0003000000142492354
0.9989660978317261,0.03706786409020424,0.0003000000142492354
0.9981708526611328,0.037193238735198975,0.0003000000142492354
0.9980912804603577,0.03323160484433174,0.0003000000142492354
0.9990456700325012,0.027112267911434174,0.0003000000142492354
0.9991251826286316,0.023351512849330902,0.0003000000142492354
0.9990456700325012,0.02162342332303524,0.0003000000142492354
0.9988865852355957,0.021344216540455818,0.0003000000142492354
0.9979322552680969,0.024445824325084686,0.0003000000142492354
0.9992842078208923,0.01965184323489666,0.0003000000142492354
0.9995228052139282,0.014944970607757568,0.0003000000142492354
0.9988865852355957,0.014891910366714,0.0003000000142492354
0.9980912804603577,0.018401123583316803,0.0003000000142492354
0.9984093904495239,0.021062953397631645,0.0003000000142492354
0.999204695224762,0.015925612300634384,0.0003000000142492354
0.9995228052139282,0.012684815563261509,0.0003000000142492354
0.9997614026069641,0.010084414854645729,0.0003000000142492354
0.9974550604820251,0.021039584651589394,0.0003000000142492354
0.9995228052139282,0.01590881124138832,0.0003000000142492354
0.9999204874038696,0.009943603537976742,0.0003000000142492354
0.9992842078208923,0.009555770084261894,0.0003000000142492354
0.997693657875061,0.019141925498843193,0.0003000000142492354
0.9989660978317261,0.022616470232605934,0.0003000000142492354
0.9989660978317261,0.015804104506969452,0.0003000000142492354
0.9994432926177979,0.012698096223175526,0.0003000000142492354
0.9994432926177979,0.011557362973690033,0.0003000000142492354
0.9996023774147034,0.010333887301385403,0.0001500000071246177
0.9999204874038696,0.008178899995982647,0.0001500000071246177
0.9998409152030945,0.0073698232881724834,0.0001500000071246177
1.0,0.006290283519774675,0.0001500000071246177
0.9998409152030945,0.005927428603172302,0.0001500000071246177
0.9996818900108337,0.006248884834349155,0.0001500000071246177
1.0,0.005221257451921701,0.0001500000071246177
0.9996023774147034,0.006422438658773899,0.0001500000071246177
0.9989660978317261,0.010252916254103184,0.0001500000071246177
0.9999204874038696,0.007048186380416155,0.0001500000071246177
1.0,0.005605025682598352,0.0001500000071246177
1.0,0.004887756891548634,0.0001500000071246177
1.0,0.004447321407496929,0.0001500000071246177
0.9979322552680969,0.013530177064239979,0.0001500000071246177
0.9999204874038696,0.011193671263754368,0.0001500000071246177
1.0,0.008228451013565063,0.0001500000071246177
1.0,0.006880247965455055,0.0001500000071246177
0.9994432926177979,0.0079162223264575,0.0001500000071246177
1.0,0.006229611579328775,7.500000356230885e-05
0.9999204874038696,0.0058530825190246105,7.500000356230885e-05
0.9998409152030945,0.005789764691144228,7.500000356230885e-05
