frame,time_s,nose_x,nose_y,l_eye_x,l_eye_y,r_eye_x,r_eye_y,l_ear_x,l_ear_y,r_ear_x,r_ear_y,l_shoulder_x,l_shoulder_y,r_shoulder_x,r_shoulder_y,l_elbow_x,l_elbow_y,r_elbow_x,r_elbow_y,l_wrist_x,l_wrist_y,r_wrist_x,r_wrist_y,l_hip_x,l_hip_y,r_hip_x,r_hip_y,l_knee_x,l_knee_y,r_knee_x,r_knee_y,l_ankle_x,l_ankle_y,r_ankle_x,r_ankle_y
20,0.6666645004061739,775.7884521484375,186.0440673828125,784.5184936523438,175.54595947265625,763.2056274414062,176.60198974609375,800.1026611328125,182.66482543945312,748.010986328125,186.9539794921875,834.9417114257812,251.0210418701172,726.8345947265625,251.37124633789062,855.6815185546875,331.55047607421875,708.4949951171875,336.817138671875,809.679443359375,334.9259338378906,760.3088989257812,337.93096923828125,809.5391235351562,395.97125244140625,743.4940185546875,390.34820556640625,783.496337890625,517.3658447265625,750.235595703125,489.6875915527344,763.55078125,649.360595703125,772.5560913085938,600.1756591796875
21,0.6999977254264825,777.2017211914062,185.71620178222656,785.8025512695312,175.2899932861328,764.5137329101562,176.36634826660156,800.8412475585938,182.59881591796875,748.6148681640625,186.97540283203125,835.3775024414062,250.6209716796875,726.871337890625,251.62513732910156,857.5607299804688,329.5622863769531,706.9857788085938,335.9644775390625,812.13720703125,332.3624267578125,755.2783813476562,334.9873046875,809.6235961914062,395.7288818359375,743.5562133789062,390.426025390625,783.6202392578125,517.730712890625,750.7310180664062,490.9314880371094,762.7303466796875,649.7147827148438,772.6214599609375,601.7782592773438
22,0.7333309504467912,777.63037109375,185.15492248535156,786.3478393554688,174.72671508789062,765.0147094726562,175.63742065429688,801.3640747070312,182.45948791503906,749.0892944335938,186.4528045654297,836.5044555664062,250.75460815429688,726.4814453125,251.22218322753906,858.4285888671875,330.4309997558594,708.1863403320312,336.1904602050781,810.7470092773438,328.6158447265625,762.1395263671875,328.7558898925781,810.22998046875,395.1463928222656,742.7984008789062,389.3489074707031,783.3926391601562,517.16162109375,748.0833129882812,488.2956848144531,764.11865234375,650.4405517578125,772.4379272460938,598.6155395507812
23,0.7666641754670999,777.8001098632812,185.05282592773438,786.5344848632812,174.7151641845703,765.3731079101562,175.48336791992188,801.4227294921875,182.47830200195312,749.6286010742188,186.19461059570312,837.1392822265625,250.59866333007812,726.6571044921875,251.22592163085938,858.8565063476562,329.2255554199219,709.1127319335938,336.4426574707031,808.194580078125,326.65814208984375,763.4029541015625,330.92608642578125,810.8067016601562,395.908935546875,743.0219116210938,389.90899658203125,783.7489013671875,517.897705078125,747.6353149414062,488.1781311035156,765.1138305664062,650.241943359375,772.8482055664062,597.2735595703125
24,0.7999974004874086,778.2486572265625,184.3810272216797,786.5467529296875,174.04776000976562,765.848388671875,174.99392700195312,800.6658935546875,182.02740478515625,750.1430053710938,186.14549255371094,836.8527221679688,250.27923583984375,727.056640625,250.8779754638672,859.9078369140625,329.2586364746094,708.7501220703125,335.4293518066406,809.6920166015625,324.8924255371094,764.197998046875,327.2075500488281,810.939208984375,395.66668701171875,743.6353759765625,389.8121337890625,783.8634643554688,517.9381103515625,748.8405151367188,488.80877685546875,765.7972412109375,650.8511352539062,773.1046142578125,598.1151123046875
25,0.8333306255077173,778.7802124023438,184.3056640625,786.90869140625,173.90707397460938,766.4999389648438,174.82371520996094,800.4561157226562,181.84793090820312,750.6642456054688,185.85861206054688,837.3527221679688,249.9957275390625,726.71875,250.65846252441406,860.54931640625,329.88641357421875,708.8718872070312,336.46014404296875,807.0252075195312,322.1127014160156,767.3226928710938,323.860595703125,811.3833618164062,395.1802673339844,743.437255859375,389.15777587890625,782.8700561523438,517.2700805664062,747.208740234375,487.3709411621094,765.1060791015625,650.7478637695312,772.66259765625,596.4305419921875
26,0.866663850528026,779.2960815429688,184.09274291992188,787.72216796875,173.82867431640625,767.1747436523438,174.53453063964844,801.5009765625,182.14207458496094,751.4483032226562,185.5215606689453,838.0630493164062,250.53851318359375,726.7164916992188,250.5446319580078,860.6314086914062,330.1784973144531,709.5301513671875,335.9795837402344,806.2781372070312,322.9219970703125,771.9076538085938,324.4480895996094,811.9097900390625,395.1164855957031,743.4942626953125,388.951171875,782.6716918945312,517.1444091796875,746.5369873046875,487.30230712890625,765.2647705078125,650.1486206054688,773.603515625,596.205322265625
27,0.8999970755483346,780.496826171875,182.9949188232422,788.952392578125,172.82757568359375,768.4776000976562,173.39015197753906,802.4302368164062,181.5980682373047,752.6752319335938,184.57167053222656,838.4125366210938,250.66363525390625,726.9576416015625,249.99514770507812,860.7097778320312,331.1260986328125,709.44287109375,335.91912841796875,807.4650268554688,322.1577453613281,772.9444580078125,322.654052734375,811.4871826171875,395.1488342285156,742.989990234375,388.8160400390625,782.6649169921875,517.5911254882812,746.3285522460938,487.4462585449219,765.9017333984375,650.0112915039062,773.8768310546875,595.7396240234375
28,0.9333303005686433,781.136474609375,181.9148712158203,789.8158569335938,172.17738342285156,769.442626953125,172.19796752929688,803.0904541015625,181.72303771972656,753.49560546875,183.3487091064453,838.10009765625,251.08753967285156,727.1846313476562,249.11888122558594,860.5401000976562,331.2773742675781,709.1013793945312,334.80352783203125,807.2684936523438,321.2882080078125,771.1624755859375,322.8977966308594,811.7008666992188,394.887939453125,743.6297607421875,388.09454345703125,782.376953125,517.9264526367188,746.4573974609375,487.6983337402344,764.937744140625,649.958984375,774.1165161132812,596.59423828125
29,0.9666635255889521,781.545654296875,181.87051391601562,790.2831420898438,172.1273193359375,770.0214233398438,172.04241943359375,803.5374145507812,181.6674041748047,754.3299560546875,183.00930786132812,838.5723266601562,250.89373779296875,727.3897705078125,248.6678009033203,860.576171875,331.5607604980469,708.386962890625,334.81707763671875,807.2656860351562,321.2481384277344,771.319091796875,321.36492919921875,811.7420654296875,394.52679443359375,743.3536376953125,387.5398864746094,781.9384155273438,517.4559326171875,744.6614379882812,486.6009521484375,764.8934936523438,650.4650268554688,772.3255004882812,595.9739990234375
