epoch,accuracy,learning_rate,loss,val_accuracy,val_learning_rate,val_loss
0,0.9386034607887268,0.0003000000142492354,0.8228940367698669,NA,NA,NA
1,0.9910927414894104,0.0003000000142492354,0.5359037518501282,NA,NA,NA
2,0.9938762784004211,0.0003000000142492354,0.4363466203212738,NA,NA,NA
3,0.9941148161888123,0.0003000000142492354,0.3648061752319336,NA,NA,NA
4,0.9959440231323242,0.0003000000142492354,0.3062964975833893,NA,NA,NA
5,0.9961826205253601,0.0003000000142492354,0.2605489492416382,NA,NA,NA
6,0.9961826205253601,0.0003000000142492354,0.22045233845710754,NA,NA,NA
7,0.9952282309532166,0.0003000000142492354,0.19304008781909943,NA,NA,NA
8,0.9957054257392883,0.0003000000142492354,0.16378812491893768,NA,NA,NA
9,0.9966597557067871,0.0003000000142492354,0.14046168327331543,NA,NA,NA
10,0.9964211583137512,0.0003000000142492354,0.12210212647914886,NA,NA,NA
11,0.996898353099823,0.0003000000142492354,0.10579269379377365,NA,NA,NA
12,0.9961826205253601,0.0003000000142492354,0.0969429463148117,NA,NA,NA
13,0.9971369504928589,0.0003000000142492354,0.08402957767248154,NA,NA,NA
14,0.9975345730781555,0.0003000000142492354,0.07391361892223358,NA,NA,NA
15,0.9960235357284546,0.0003000000142492354,0.07019730657339096,NA,NA,NA
16,0.9970574378967285,0.0003000000142492354,0.06253504008054733,NA,NA,NA
17,0.9963416457176208,0.0003000000142492354,0.0591757595539093,NA,NA,NA
18,0.9966597557067871,0.0003000000142492354,0.05559787154197693,NA,NA,NA
19,0.9972960352897644,0.0003000000142492354,0.05004119873046875,NA,NA,NA
20,0.9971369504928589,0.0003000000142492354,0.04748009517788887,NA,NA,NA
21,0.9963416457176208,0.0003000000142492354,0.04710594192147255,NA,NA,NA
22,0.9972960352897644,0.0003000000142492354,0.04278073087334633,NA,NA,NA
23,0.9966597557067871,0.0003000000142492354,0.04343150928616524,NA,NA,NA
24,0.9965007305145264,0.0003000000142492354,0.04190592095255852,NA,NA,NA
25,0.9977731704711914,0.0003000000142492354,0.037123903632164,NA,NA,NA
26,0.9971369504928589,0.0003000000142492354,0.036926962435245514,NA,NA,NA
27,0.9957849383354187,0.0003000000142492354,0.0408904030919075,NA,NA,NA
