accuracy,loss,val_accuracy,val_loss,learning_rate
0.964708149433136,0.702943742275238,0.9907447695732117,0.5123597383499146,0.0003000000142492354
0.9954029321670532,0.42914241552352905,0.9909386038780212,0.3768552839756012,0.0003000000142492354
0.996791660785675,0.3153492212295532,0.9892426133155823,0.3024475872516632,0.0003000000142492354
0.9965043067932129,0.23807694017887115,0.9929253458976746,0.22260107100009918,0.0003000000142492354
0.9971268773078918,0.18097080290317535,0.9919077157974243,0.1767406165599823,0.0003000000142492354
0.9973662495613098,0.13853414356708527,0.9928768873214722,0.13858573138713837,0.0003000000142492354
0.9970789551734924,0.1091688871383667,0.992973804473877,0.11044540256261826,0.0003000000142492354
0.9971747398376465,0.08819452673196793,0.9941367506980896,0.09698869287967682,0.0003000000142492354
0.9969831705093384,0.07519149035215378,0.9948151111602783,0.07926104962825775,0.0003000000142492354
0.9971747398376465,0.06321318447589874,0.9904540181159973,0.08335079252719879,0.0003000000142492354
0.9982282519340515,0.05331219732761383,0.9931191802024841,0.06380490213632584,0.0003000000142492354
0.9969831705093384,0.049754031002521515,0.9874981641769409,0.08971531689167023,0.0003000000142492354
0.9968874454498291,0.04578044265508652,0.9920530915260315,0.06080595776438713,0.0003000000142492354
0.9973662495613098,0.04143359139561653,0.994427502155304,0.053052645176649094,0.0003000000142492354
0.9973662495613098,0.03907264024019241,0.994185209274292,0.04760926589369774,0.0003000000142492354
0.9979408979415894,0.035147879272699356,0.992489218711853,0.05052712559700012,0.0003000000142492354
0.9975099563598633,0.03426271677017212,0.9936521649360657,0.04645472764968872,0.0003000000142492354
