frame,time_s,nose_x,nose_y,l_eye_x,l_eye_y,r_eye_x,r_eye_y,l_ear_x,l_ear_y,r_ear_x,r_ear_y,l_shoulder_x,l_shoulder_y,r_shoulder_x,r_shoulder_y,l_elbow_x,l_elbow_y,r_elbow_x,r_elbow_y,l_wrist_x,l_wrist_y,r_wrist_x,r_wrist_y,l_hip_x,l_hip_y,r_hip_x,r_hip_y,l_knee_x,l_knee_y,r_knee_x,r_knee_y,l_ankle_x,l_ankle_y,r_ankle_x,r_ankle_y,pred_label,pred_conf
11,0.3666657701711491,799.7380981445312,225.88446044921875,808.2978515625,218.011962890625,789.7239379882812,216.8400421142578,815.8899536132812,225.5220489501953,767.0573120117188,221.7241668701172,823.5570068359375,290.7126770019531,742.6824951171875,285.9993591308594,836.473876953125,369.66162109375,726.4712524414062,362.6643676757813,836.2483520507812,431.20263671875,739.3114013671875,431.4914245605469,811.6525268554688,438.1936950683594,760.2849731445312,438.2671813964844,806.513916015625,540.2601928710938,758.5567016601562,545.2552490234375,792.0059204101562,631.3150634765625,759.7199096679688,644.6595458984375,Vrikshasana,0.6849829
12,0.3999990220048899,799.2326049804688,226.4481964111328,807.643310546875,218.4974822998047,789.2577514648438,217.3822326660156,815.0307006835938,225.79037475585935,766.4029541015625,222.07701110839844,823.1279907226562,290.94970703125,741.8587036132812,286.34130859375,837.4179077148438,369.7184143066406,725.9886474609375,362.5196838378906,836.9524536132812,431.4214782714844,739.909912109375,430.0074157714844,811.48388671875,437.871826171875,759.9895629882812,438.0206298828125,805.9630126953125,539.4238891601562,758.0747680664062,544.794189453125,791.7162475585938,630.4703979492188,759.5656127929688,644.1475830078125,Vrikshasana,0.67712474
13,0.4333322738386308,799.5484008789062,227.30517578125,807.7813110351562,219.37132263183597,789.7622680664062,218.09034729003903,814.630859375,226.3523712158203,766.2664794921875,222.1268310546875,822.3931884765625,291.204345703125,741.273193359375,285.85968017578125,838.2884521484375,370.4205017089844,725.48779296875,361.2428894042969,837.4324340820312,433.7582092285156,739.6160278320312,428.5201721191406,811.38671875,437.6534118652344,760.0150756835938,437.6551208496094,805.728515625,538.589111328125,758.0145263671875,544.7246704101562,791.060546875,628.8822021484375,759.263916015625,643.892578125,Vrikshasana,0.6692289
14,0.4666655256723716,798.9097290039062,228.1647491455078,807.205810546875,220.0747985839844,789.0426635742188,218.7888946533203,814.2894897460938,226.5963592529297,765.4361572265625,222.40036010742188,822.7686157226562,291.90057373046875,740.6024780273438,286.918701171875,840.3670043945312,370.53814697265625,726.4209594726562,361.2888793945313,838.4563598632812,435.38665771484375,740.0115966796875,429.5135192871094,811.860595703125,438.9540100097656,760.0391235351562,438.4809265136719,803.4722290039062,539.7076416015625,758.0972900390625,544.241943359375,787.4414672851562,626.6920166015625,759.165283203125,640.3968505859375,Vrikshasana,0.66127443
15,0.4999987775061124,798.3483276367188,228.1530914306641,806.7222290039062,220.1685333251953,788.5029296875,218.9757843017578,814.2994384765625,227.0465240478516,765.5910034179688,223.1295318603516,824.3701782226562,292.36297607421875,740.6136474609375,287.75518798828125,843.2630615234375,370.3533020019531,726.1560668945312,361.72802734375,838.77587890625,435.6400451660156,739.938720703125,430.6921691894531,812.23291015625,439.64495849609375,759.5294189453125,439.071533203125,803.5592041015625,541.1394653320312,757.7884521484375,545.1720581054688,787.7405395507812,628.4224853515625,759.6278686523438,641.1041870117188,Vrikshasana,0.653789
16,0.5333320293398532,797.9439086914062,229.2760162353516,806.4102172851562,221.21881103515625,787.9755859375,220.0667724609375,814.4659423828125,227.9036407470703,765.35009765625,224.16940307617188,825.1190795898438,293.2245178222656,740.962646484375,288.5668334960937,844.4229125976562,371.1029968261719,726.9154052734375,362.2877807617188,839.2337646484375,436.2318420410156,740.5986328125,431.3376770019531,812.1920166015625,440.1310729980469,759.4589233398438,439.3197326660156,802.754150390625,541.8010864257812,758.4796142578125,545.074951171875,786.1746215820312,628.8998413085938,760.598388671875,640.2803955078125,Vrikshasana,0.64688724
17,0.5666652811735942,796.6880493164062,230.0570373535156,805.6058959960938,222.01925659179688,786.7747802734375,220.84524536132807,814.7813110351562,228.65745544433597,765.609130859375,225.0167999267578,826.01220703125,293.7000732421875,742.1334228515625,289.3788452148437,844.8026123046875,370.6525268554688,726.90673828125,362.8139343261719,839.4705200195312,435.5842895507813,741.3948364257812,432.0156555175781,812.5149536132812,440.22064208984375,760.2235717773438,439.483154296875,802.4060668945312,541.8919067382812,759.9066162109375,545.3115234375,784.905517578125,629.0794677734375,761.9979248046875,640.4949340820312,Vrikshasana,0.6405624
18,0.599998533007335,797.0930786132812,230.3377990722656,805.990478515625,222.2931671142578,787.1416625976562,221.25897216796875,815.2218627929688,228.95941162109372,765.9563598632812,225.64111328125,826.8296508789062,293.7011108398437,742.3743896484375,290.01934814453125,845.7973022460938,369.7454223632813,727.0003662109375,363.2018737792969,839.3746337890625,433.9623107910156,741.5658569335938,431.7853393554688,813.1767578125,440.156494140625,760.583984375,439.6030883789063,801.8994750976562,541.64794921875,759.6259765625,545.2179565429688,784.92578125,629.599365234375,762.8604736328125,640.9563598632812,Vrikshasana,0.634778
19,0.6333317848410758,797.4602661132812,230.57591247558597,806.3101806640625,222.71194458007807,787.4854125976562,221.84445190429688,815.741943359375,229.87237548828125,766.882080078125,227.0247802734375,827.7285766601562,294.1376342773437,743.570068359375,290.8139343261719,845.78466796875,369.40283203125,727.6253662109375,363.7063293457031,838.2056274414062,431.80517578125,742.2457275390625,431.5357971191406,813.3029174804688,438.9527282714844,760.7503662109375,438.3887023925781,802.510986328125,540.6181030273438,759.9058227539062,543.8174438476562,785.5722045898438,629.9334106445312,762.6122436523438,640.7605590820312,Vrikshasana,0.6293934
20,0.6666650366748166,797.4970092773438,230.9605407714844,806.2825317382812,223.0676422119141,787.4474487304688,222.4310302734375,816.0040893554688,230.29791259765625,767.4780883789062,228.1290283203125,828.7481079101562,294.587158203125,745.0718994140625,291.8644714355469,847.0155639648438,369.6321411132813,729.3258056640625,364.6640625,837.9826049804688,430.9192504882813,742.9380493164062,431.9996643066406,813.4783935546875,438.9664611816406,761.3069458007812,438.4345397949219,802.438720703125,540.2957153320312,760.8638916015625,543.45654296875,785.5170288085938,630.1710205078125,763.1642456054688,640.7853393554688,Vrikshasana,0.624261
