accuracy,loss,learning_rate
0.9386034607887268,0.8228940367698669,0.0003000000142492354
0.9910927414894104,0.5359037518501282,0.0003000000142492354
0.9938762784004211,0.4363466203212738,0.0003000000142492354
0.9941148161888123,0.3648061752319336,0.0003000000142492354
0.9959440231323242,0.3062964975833893,0.0003000000142492354
0.9961826205253601,0.2605489492416382,0.0003000000142492354
0.9961826205253601,0.22045233845710754,0.0003000000142492354
0.9952282309532166,0.19304008781909943,0.0003000000142492354
0.9957054257392883,0.16378812491893768,0.0003000000142492354
0.9966597557067871,0.14046168327331543,0.0003000000142492354
0.9964211583137512,0.12210212647914886,0.0003000000142492354
0.996898353099823,0.10579269379377365,0.0003000000142492354
0.9961826205253601,0.0969429463148117,0.0003000000142492354
0.9971369504928589,0.08402957767248154,0.0003000000142492354
0.9975345730781555,0.07391361892223358,0.0003000000142492354
0.9960235357284546,0.07019730657339096,0.0003000000142492354
0.9970574378967285,0.06253504008054733,0.0003000000142492354
0.9963416457176208,0.0591757595539093,0.0003000000142492354
0.9966597557067871,0.05559787154197693,0.0003000000142492354
0.9972960352897644,0.05004119873046875,0.0003000000142492354
0.9971369504928589,0.04748009517788887,0.0003000000142492354
0.9963416457176208,0.04710594192147255,0.0003000000142492354
0.9972960352897644,0.04278073087334633,0.0003000000142492354
0.9966597557067871,0.04343150928616524,0.0003000000142492354
0.9965007305145264,0.04190592095255852,0.0003000000142492354
0.9977731704711914,0.037123903632164,0.0003000000142492354
0.9971369504928589,0.036926962435245514,0.0003000000142492354
0.9957849383354187,0.0408904030919075,0.0003000000142492354
0.996898353099823,0.0368209108710289,0.0003000000142492354
0.9952282309532166,0.042015090584754944,0.0003000000142492354
0.9958645105361938,0.03964045271277428,0.0003000000142492354
0.9970574378967285,0.037170447409152985,0.0003000000142492354
0.9972960352897644,0.03330404311418533,0.0003000000142492354
0.9975345730781555,0.030195102095603943,0.0003000000142492354
0.996103048324585,0.032706379890441895,0.0003000000142492354
0.9965802431106567,0.03362865000963211,0.0003000000142492354
0.9974550604820251,0.028576621785759926,0.0003000000142492354
0.9960235357284546,0.034522056579589844,0.0003000000142492354
0.9973755478858948,0.031693361699581146,0.0003000000142492354
0.9970574378967285,0.030009081587195396,0.0003000000142492354
0.9966597557067871,0.030465271323919296,0.0003000000142492354
0.9974550604820251,0.028020478785037994,0.0003000000142492354
0.9957849383354187,0.03400509059429169,0.0003000000142492354
0.9979322552680969,0.02747153863310814,0.0003000000142492354
0.9977731704711914,0.025385187938809395,0.0003000000142492354
0.9970574378967285,0.026886554434895515,0.0003000000142492354
0.9973755478858948,0.025372963398694992,0.0003000000142492354
0.9969778656959534,0.026954032480716705,0.0003000000142492354
0.9972960352897644,0.023250743746757507,0.0003000000142492354
0.9972164630889893,0.024503692984580994,0.0003000000142492354
0.995625913143158,0.03073180466890335,0.0003000000142492354
0.9970574378967285,0.024749483913183212,0.0003000000142492354
0.9971369504928589,0.02786899544298649,0.0003000000142492354
0.9969778656959534,0.025412876158952713,0.0003000000142492354
0.9977731704711914,0.021104170009493828,0.0001500000071246177
0.9983298778533936,0.020054344087839127,0.0001500000071246177
0.9981708526611328,0.021129848435521126,0.0001500000071246177
0.9985684752464294,0.01901170425117016,0.0001500000071246177
0.9991251826286316,0.01742054894566536,0.0001500000071246177
0.9984889626502991,0.018555186688899994,0.0001500000071246177
0.9983298778533936,0.017370663583278656,0.0001500000071246177
0.9986479878425598,0.015896501019597054,0.0001500000071246177
0.9988070726394653,0.016166748479008675,0.0001500000071246177
0.9971369504928589,0.021515749394893646,0.0001500000071246177
0.9978526830673218,0.01933917962014675,0.0001500000071246177
0.9978526830673218,0.02022809349000454,0.0001500000071246177
0.9977731704711914,0.017152000218629837,0.0001500000071246177
